6125
NP_009315.1	NP_009315.1	MissingGeneType
NP_009319.1	NP_009319.1	MissingGeneType
NP_009320.1	NP_009320.1	MissingGeneType
NP_009324.1	NP_009324.1	MissingGeneType
NP_009326.1	NP_009326.1	MissingGeneType
NP_009327.1	NP_009327.1	MissingGeneType
NP_009328.1	NP_009328.1	MissingGeneType
NM_001178945.1	NM_001178945.1	MissingGeneType
NM_001179004.1	NM_001179004.1	MissingGeneType
NM_001179059.1	NM_001179059.1	MissingGeneType
NM_001184302.1	NM_001184302.1	MissingGeneType
NM_001180855.1	NM_001180855.1	MissingGeneType
NM_001178891.1	NM_001178891.1	MissingGeneType
NM_001178890.1	NM_001178890.1	MissingGeneType
NM_001178888.1	NM_001178888.1	MissingGeneType
NM_001178887.1	NM_001178887.1	MissingGeneType
NM_001178886.1	NM_001178886.1	MissingGeneType
NM_001178885.1	NM_001178885.1	MissingGeneType
NM_001178884.1	NM_001178884.1	MissingGeneType
NM_001270743.1	NM_001270743.1	MissingGeneType
NM_001178882.1	NM_001178882.1	MissingGeneType
NM_001178881.1	NM_001178881.1	MissingGeneType
NM_001178880.3	NM_001178880.3	MissingGeneType
NM_001178879.1	NM_001178879.1	MissingGeneType
NM_001178878.1	NM_001178878.1	MissingGeneType
NM_001178877.3	NM_001178877.3	MissingGeneType
NM_001178876.1	NM_001178876.1	MissingGeneType
NM_001178875.1	NM_001178875.1	MissingGeneType
NM_001180854.3	NM_001180854.3	MissingGeneType
NM_001178873.1	NM_001178873.1	MissingGeneType
NM_001178872.1	NM_001178872.1	MissingGeneType
NM_001178871.3	NM_001178871.3	MissingGeneType
NM_001178870.1	NM_001178870.1	MissingGeneType
NR_132163.1	NR_132163.1	MissingGeneType
NM_001178869.1	NM_001178869.1	MissingGeneType
NM_001178868.3	NM_001178868.3	MissingGeneType
NM_001178867.1	NM_001178867.1	MissingGeneType
NM_001178866.1	NM_001178866.1	MissingGeneType
NM_001178865.3	NM_001178865.3	MissingGeneType
NR_132164.1	NR_132164.1	MissingGeneType
NR_132165.1	NR_132165.1	MissingGeneType
NM_001178864.1	NM_001178864.1	MissingGeneType
NM_001178863.1	NM_001178863.1	MissingGeneType
NM_001178862.3	NM_001178862.3	MissingGeneType
NM_001178861.1	NM_001178861.1	MissingGeneType
NM_001178859.1	NM_001178859.1	MissingGeneType
NM_001178858.3	NM_001178858.3	MissingGeneType
NM_001178857.1	NM_001178857.1	MissingGeneType
NM_001178856.1	NM_001178856.1	MissingGeneType
